"","Subtype","EBF","TCF","TNF","LMAN2","RARG","SMAD3B2","ZAP70_CpG3","ZAP70_SHORE","CLL13R.Imp","CLL15R.Imp","CLL1R.3.Imp","CLL5R.Imp","CLL6R.Imp","CLL9F.Imp","Myeloid1R.2.Imp","Myeloid4F.2.Imp","Myeloid6R.Imp","T.NK1R.Imp","T.NK4F.Imp","T.NK5F.Imp"
"P0462","HP",0.735787,0.155364333,0.0123335,0.486785333,0.2526115,0.717632667,0.719065,0.77644,0.95,0.93,0.94,0.9,0.95,0.9,1,1,1,0.1,0.1,0.12
"P0466","HP",0.491737,0.249696,0.132908,0.4510155,0.756303,0.751046,0.664185,0.712925667,0.95,0.88,0.38,0.74,0.95,0.84,1,1,1,0.2,0.1,0.15
"P0471","HP",0.132462,0.306887,0.308236,0.48546975,0.6316415,0.468652,0.707731,0.760834333,0.83,0.76,0.68,0.73,0.71,0.75,1,1,1,0.22,0.1,0.17
"P0472","HP",0.0998365,0.217710667,0.071534,0.4020565,0.7098045,0.760768333,0.568167,0.787644333,0.95,0.85,0.71,0.72,0.95,0.76,1,1,1,0.18,0.1,0.15
"P0473","HP",0.193398,0.282948,0.516885,0.431502,0.6525295,0.6789345,0.687109,0.772034333,0.95,0.91,0.8,0.98,0.53,0.88,1,1,1,0,0.1,0.14
"P0480","HP",0.1079585,0.206512667,0.5882635,0.423926,0.3971955,0.621581333,0.68541,0.668412,0.95,1,0.86,0.9,0.95,0.82,1,0.97,1,0,0.1,0.18
"P0485","HP",0.0807205,0.178017,0,0.572012,0.435797,0.767927333,0.367589,0.59111,0.95,1,0.98,0.92,0.95,0.92,1,1,1,0,0.1,0.1
"P0488","HP",0.1657805,0.205283667,0.1573915,0.5764965,0.6324765,0.764557,0.656166,0.796594667,0.87,1,1,1,0.95,0.9,1,1,1,0,0.1,0.14
"P0493","HP",0.077446,0.153982667,0.0386575,0.39562,0.6844525,0.759741,0.477842,0.789697,0.95,1,0.93,0.9,0.95,0.84,0.77,1,1,0.05,0.1,0.11
"P0528","HP",0.082395,0.142858667,0.0358045,0.38767725,0.490863,0.812577,0.324265,0.715147333,0.95,1,0.84,0.83,0.95,0.91,1,1,1,0.2,0.1,0.1
"P0559","HP",0.0564785,0.132979333,0,0.45153775,0.6673955,0.780230333,0.5716,0.803091,0.95,0.73,0.82,0.69,0.91,0.78,1,1,1,0.15,0.1,0.11
"P0600","HP",0.0958605,0.195832333,0.0727755,0.45205075,0.6415155,0.723631,0.749726,0.814016,0.82,0.97,0.91,0.89,0.95,0.8,1,1,1,0.07,0.1,0.15
"P0679","HP",0.2768545,0.201500667,0.269393,0.52672,0.5343345,0.754346,0.737377,0.827477333,0.95,0.99,0.81,0.82,0.95,0.84,1,1,1,0.12,0.1,0.13
"P0716","HP",0.073822,0.139963667,0.13162,0.42462125,0.6739335,0.829237,0.781566,0.730959333,0.8,1,0.98,0.88,0.95,0.87,1,1,1,0,0.1,0.09
"SE62","HP",0.0378495,0.075423,0.199575,0.5504945,0.545843,0.722448667,0.389768,0.696887,0.95,1,1,1,0.95,1,1,1,1,0,0.1,0.04
"0025-1207 unsorted CLL","Impure",0.8816685,0.727848,0.547858,0.40570625,0.299491,0.226011333,0.46697,0.511119,0.03,0.45,0.6,0.35,0.15,0.64,0.76,1,0.99,0.15,0.22,0.36
"0025-1333 unsorted CLL","Impure",0.89867,0.704399667,0.5790695,0.285077,0.1424475,0.13422,0.378638,0.396938667,0.18,0.32,0.4,0.2,0.25,0.37,1,0.96,0.92,0.23,0.31,0.34
"0025-1936 unsorted CLL","Impure",0.636483,0.488376667,0.503642,0.3581745,0.2745545,0.260596,0.378168,0.498887667,0.07,0.41,0.48,0.41,0.3,0.43,1,1,0.96,0.35,0.36,0.42
"0025-2216 unsorted CLL","Impure",0.9018335,0.737597333,0.346548,0.4510595,0.3952375,0.413901333,0.329194,0.329775667,0.11,0.29,0.38,0.26,0.19,0.42,1,1,1,0.37,0.49,0.49
"0488 FT","Impure",0.9263935,0.758767667,0.63905,0.4071365,0.181451,0.132765,0.430106,0.483435333,0,0,0,0,0,0,0.95,1,0.9,0.44,0.53,0.52
"0635 FT","Impure",0.9489265,0.779991,0.6607185,0.3924195,0.2031265,0.147382667,0.441713,0.479140667,0,0,0,0,0,0,0.88,1,0.77,0.3,0.49,0.49
"0672 FT","Impure",0.8324035,0.700320333,0.3867035,0.4579755,0.31247,0.284898667,0.282471,0.285982667,0,0.07,0.07,0.13,0.02,0,0.92,1,1,0.55,0.63,0.64
"0849 FT","Impure",0.899598,0.756481,0.4624005,0.40957725,0.197778,0.219579333,0.422344,0.408199,0,0,0,0,0.01,0,0.91,1,0.81,0.46,0.56,0.5
"1156 FT","Impure",0.9268935,0.764705667,0.536071,0.3715455,0.223772,0.163109667,0.503459,0.549664333,0,0,0,0,0,0,0.69,0.85,0.52,0.32,0.43,0.37
"1304 FT","Impure",0.860443,0.787973,0.5847665,0.41223075,0.525406,0.492073333,0.348782,0.307014667,0,0,0,0.14,0.01,0,0.99,1,0.98,0.72,0.76,0.68
"1304 unsort","Impure",0.88658,0.757617667,0.588904,0.41837475,0.5134945,0.433155667,0.301996,0.340956,0,0.05,0.13,0.15,0.07,0.02,1,1,1,0.63,0.74,0.64
"1335 FT","Impure",0.927594,0.791832,0.52709,0.456279,0.2336125,0.159567333,0.383769,0.442539,0,0,0,0,0.04,0,1,1,1,0.47,0.57,0.61
"1439 FT","Impure",0.908594,0.770661333,0.4924735,0.37487875,0.3005145,0.244515,0.422606,0.444851667,0,0.05,0,0.04,0,0,0.84,1,0.81,0.51,0.39,0.5
"1585 FT","Impure",0.9382035,0.773906333,0.517289,0.36107425,0.250999,0.204070667,0.475398,0.520391667,0,0.03,0,0,0,0,0.76,0.95,0.57,0.36,0.39,0.41
"1936 FT","Impure",0.914828,0.807923,0.485039,0.3988755,0.253298,0.237259,0.376918,0.373057,0,0,0.05,0,0,0,0.81,1,0.83,0.54,0.58,0.54
"2065 FT","Impure",0.9227225,0.730406667,0.6137855,0.38120125,0.245014,0.195998667,0.51124,0.570631,0,0,0,0,0.07,0,0.7,0.83,0.57,0.24,0.33,0.38
"2112 FT","Impure",0.916419,0.771499667,0.517027,0.38406425,0.241167,0.246168667,0.429148,0.447417,0,0.1,0.11,0.15,0.08,0,0.87,1,0.73,0.44,0.49,0.49
"HP 0%","Impure",0.8824435,0.687581,0.595632,0.39635825,0.222644,0.190368333,0.425908,0.467806,0,0.02,0,0,0,0,0.8,1,0.86,0.42,0.49,0.54
"IP 0%","Impure",0.85234,0.681116667,0.595583,0.4055765,0.274268,0.217369667,0.416307,0.477580333,0,0.01,0,0,0,0,0.98,1,0.95,0.41,0.51,0.51
